epoch,train_loss,val_loss,val_bal_acc
1,1.3590535467321223,1.313345342874527,0.4634128299207007
2,1.2886662970889697,1.25599005818367,0.4804242119382965
3,1.2346630150621587,1.211924433708191,0.5029687931510632
4,1.1949140266938643,1.1814570724964142,0.5078411646348681
5,1.1654719629070975,1.1504899561405182,0.5279544916558173
6,1.1421247341416099,1.1379530727863312,0.5386929419655186
7,1.1193114627491345,1.116420567035675,0.5396743204323983
8,1.1049037413163618,1.1054439842700958,0.5635923383437882
9,1.0929914821277966,1.0843047499656677,0.5691847161399771
10,1.078893081708388,1.0701282024383545,0.5538845820018147
11,1.0614257454872131,1.0571949034929276,0.5981008600623348
12,1.0365800559520721,1.0515103787183762,0.5809144080167278
13,1.0377293202010067,1.0450394451618195,0.5943948001735906
14,1.0346421138806776,1.0376183986663818,0.5874117252534817
15,1.0177074670791626,1.0245576053857803,0.5773932812561644
16,1.0132820877161892,1.0293048620224,0.5987715508738707
17,0.9963711418888785,1.0161347091197968,0.5856511618732001
18,0.986840928142721,1.0129410922527313,0.6041789955418788
19,0.9875201826745813,1.0047788172960281,0.5828500414250208
20,0.986231115731326,1.011684611439705,0.5917786128535921
21,0.9716139733791351,0.9979944676160812,0.592994239949501
22,0.9556474956599149,1.0019033402204514,0.5976052392788102
23,0.9582628770308061,0.9927885681390762,0.6006578687813153
24,0.9396959028460763,0.9883814454078674,0.6123111216317514
25,0.9537609923969615,0.9883644431829453,0.6024184321615971
26,0.9364844425158068,0.9753522723913193,0.6006578687813153
27,0.9364979077469219,0.9745129346847534,0.6341085730066676
28,0.9319855110211805,0.9737681597471237,0.6112212490630056
29,0.9255407913164659,0.9848829358816147,0.6010178719375074
30,0.9195969158952887,0.9709357023239136,0.6324737641535487
31,0.915970501574603,0.9679052531719208,0.6279712589261057
32,0.9033997383984652,0.9741886407136917,0.6097713733380676
33,0.9006377919153734,0.9711601883172989,0.6353242001025763
34,0.9063071635636416,0.9695895612239838,0.6165029392038506
35,0.8940456915985454,0.9533989280462265,0.6290118159940032
36,0.8910183093764565,0.9616794437170029,0.6219103838718586
37,0.882716956463727,0.9628631174564362,0.6009685564366591
38,0.8758897239511664,0.9483162313699722,0.6150530634789128
39,0.8712325069037351,0.9614216238260269,0.6220953170000395
40,0.8727480985901572,0.9487518072128296,0.6127968793151064
41,0.8603513186628168,0.9490952640771866,0.6380661419497377
42,0.8679255788976495,0.9498995691537857,0.6451083954708644
43,0.8544627753171053,0.9559473693370819,0.6305874462461041
44,0.8519084291024641,0.9568832963705063,0.6205690022487869
45,0.8501189242709767,0.950292780995369,0.6398267053300193
46,0.852372486482967,0.9328398406505585,0.6356348877579201
47,0.8413206826556813,0.9448672980070114,0.6272512526137215
48,0.8276074528694153,0.9366391599178314,0.641587268710301
49,0.829606828364459,0.9474976062774658,0.6250715074762299
50,0.849250625480305,0.9458065927028656,0.6275027616680475
51,0.8308793712746013,0.9457286894321442,0.624275062137531
52,0.8209478204900568,0.9432411640882492,0.6422579595218368
53,0.8087717484344136,0.9514949321746826,0.6202089990925947
54,0.8189511786807667,0.9339368492364883,0.6356348877579201
55,0.8087827454913746,0.9495788663625717,0.6005321142541524
56,0.8088706975633447,0.955445408821106,0.6058729829960152
57,0.8319107402454723,0.9362665265798569,0.6281561920542865
58,0.8041726323691282,0.944981724023819,0.6250715074762299
59,0.7965771772644736,0.9258214086294174,0.6248199984219039
60,0.7872567691586234,0.9326490610837936,0.6326586972817296
61,0.804095514795997,0.947127103805542,0.6292633250483292
62,0.8031352920965715,0.9342970252037048,0.6261613800449757
