class_name,precision,recall,f1,support,fold,test_path
forward,0.7772727272727272,0.5816326530612245,0.6653696498054474,294,0,Almacen-Laboratorio_J
left,0.36363636363636365,0.5789473684210527,0.4467005076142132,76,0,Almacen-Laboratorio_J
right,0.4927536231884058,0.4473684210526316,0.4689655172413793,76,0,Almacen-Laboratorio_J
update memory,0.14814814814814814,0.2222222222222222,0.17777777777777778,72,0,Almacen-Laboratorio_J
forward,0.8739495798319328,0.6842105263157895,0.7675276752767528,152,1,Cuarto_O-Laboratorio_M
left,0.3492063492063492,0.8148148148148148,0.4888888888888889,27,1,Cuarto_O-Laboratorio_M
right,0.3617021276595745,0.8095238095238095,0.5,21,1,Cuarto_O-Laboratorio_M
update memory,0.0,0.0,0.0,31,1,Cuarto_O-Laboratorio_M
forward,0.7446808510638298,0.6140350877192983,0.6730769230769231,171,2,Cubiculo_13-Laboratorio_I
left,0.5151515151515151,0.40963855421686746,0.4563758389261745,83,2,Cubiculo_13-Laboratorio_I
right,0.41935483870967744,0.6666666666666666,0.5148514851485149,39,2,Cubiculo_13-Laboratorio_I
update memory,0.05555555555555555,0.1,0.07142857142857142,30,2,Cubiculo_13-Laboratorio_I
forward,0.8111888111888111,0.5471698113207547,0.6535211267605634,212,3,Cubiculo_3-Laboratorio_E
left,0.34615384615384615,0.5192307692307693,0.4153846153846154,52,3,Cubiculo_3-Laboratorio_E
right,0.3088235294117647,0.39622641509433965,0.34710743801652894,53,3,Cubiculo_3-Laboratorio_E
update memory,0.1,0.1875,0.13043478260869565,32,3,Cubiculo_3-Laboratorio_E
forward,0.6440677966101694,0.3275862068965517,0.4342857142857143,116,4,Sala_E-Laboratorio_A
left,0.38596491228070173,0.55,0.4536082474226804,40,4,Sala_E-Laboratorio_A
right,0.23404255319148937,0.5789473684210527,0.3333333333333333,38,4,Sala_E-Laboratorio_A
update memory,0.0,0.0,0.0,25,4,Sala_E-Laboratorio_A
